"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"A0A0R4J081",27.6890583,27.84989548,27.91262245,27.78985977,27.68411636,27.90907669,27.36461067,27.80998802,27.85626221,27.75219345,27.53852844,27.80365944,28.06476212,28.11043358,27.80495071,27.51698112,27.77335358,27.8699131
"A0A0R4J083",31.00249481,31.33335495,31.12737083,31.31343651,31.36379814,31.36003304,24.74563408,31.14970779,31.29974747,31.02630615,31.19507217,30.88692856,31.8286953,31.91762352,31.81233788,31.68022346,31.80324364,31.52827072
"A0A0R4J1F6",25.77074623,25.84835625,25.42916679,25.58823586,25.23819542,24.32668686,25.9408493,25.99978828,25.72234154,26.27093697,25.65430832,25.707304,25.18861771,24.89638329,25.68016434,24.40801811,25.45344734,25.48139191
"A0A0R4J088",24.07052422,24.11289978,26.7206459,24.46620941,25.67975044,26.91330719,27.38261414,25.02890587,25.21013069,27.29500198,27.12080002,27.98554802,27.5760746,27.48139191,27.97311783,27.68331337,27.41530418,27.57715416
"A0A0R4J090",27.72793198,27.75830841,27.87091255,28.00045395,27.6607132,27.75091743,27.43563271,27.98087311,27.49228287,27.78948784,27.43730164,27.61680794,27.64320183,27.31319809,27.5225296,27.69471359,27.4186039,27.67848587
"A0A0R4J091",24.59917068,23.77321815,24.35701752,25.83115578,24.96790886,24.9735775,25.99459648,25.89827538,26.01211929,25.56900406,25.64790154,23.38603401,25.72572517,25.65790939,25.58683395,25.94333267,24.80592918,24.55377579
"A0A0R4J092",26.95093727,27.16710472,26.99172401,27.02337456,26.95892143,26.98261452,26.96113205,26.95149231,26.92660141,26.86124039,26.87197113,27.00977325,26.92953873,27.20573616,27.0896225,26.96477127,26.90242195,26.81677628
"O88393",24.73966408,24.80133438,24.38395691,24.09575272,24.90002632,25.55178833,25.20806503,25.08557701,25.36676407,24.68002892,25.56455612,25.44327164,24.63739967,25.31660843,25.30891609,25.06441689,24.75688934,25.45230293
"A0A0R4J098",27.55164146,27.4969368,27.84302139,27.57592964,27.51073456,27.68324661,27.53348732,27.66383743,27.5717411,27.44624329,27.29710388,27.63152313,27.45677567,27.54074669,27.46575546,27.26704788,27.41852379,27.31898308
"A0A0R4J0C8",25.77252769,24.56853485,24.45369911,24.67343712,24.84913826,26.56465149,24.89225388,26.49403954,26.80648804,26.55704308,26.72961998,26.80771637,24.44652939,26.44852829,26.66465187,26.62797928,24.98225594,26.74995995
"A0A0R4J0D3",27.94776344,28.11068153,27.85019302,27.87835884,28.10953522,27.76395226,27.3950119,27.77184296,27.86248398,27.90695763,27.0866909,27.95254898,27.32654572,27.30764961,27.53244781,27.24099922,27.421175,27.29981232
"A0A0R4J0E4",24.69548035,24.58513069,23.57019806,26.53310204,24.5638485,26.88809013,26.09818268,26.3341713,26.54210663,26.62100792,26.48628044,26.15568542,23.88673592,26.2443428,26.21872711,26.63989449,26.59505463,26.79352379
"A0A0R4J0G0",29.99023628,30.01504707,29.99104881,30.05025101,30.11408615,29.96154594,29.92804146,29.8671608,29.7634449,29.69559479,29.8787384,29.73813438,30.28460503,30.19812012,30.20256424,30.20116234,30.23192024,30.12817001
"A9UGK3",26.02379799,26.45762253,26.03663826,26.65171051,26.30669403,26.536129,26.35925865,26.48701668,26.24098206,26.13516045,24.30867386,26.18597412,26.36989403,26.49573326,26.20035934,24.57894516,26.43793488,26.49794197
"A0A0R4J0H7",27.39321136,27.40665436,27.47830963,27.30956078,27.29824066,27.33951569,27.60399437,27.56826591,27.61294746,27.68210793,27.42278099,27.44237137,27.31163979,27.56311035,27.57470322,27.39786911,27.41836357,27.32465935
"A0A0R4J0I6",26.83243561,26.75786209,26.47473907,26.70094299,26.41565895,26.14732552,26.31247139,26.01094627,26.13985252,25.81509209,25.79733849,26.2104454,25.98391914,24.33172226,25.97554779,26.37600327,24.74205589,25.79034615
"A0A0R4J0I9",27.18735313,27.19460297,27.17035484,27.23132515,27.34807014,27.0508213,27.10988426,27.05475807,27.06681633,26.99291229,26.94514275,27.18886185,27.34612656,27.33073997,27.35051727,27.38936043,27.44774055,27.41336823
"A0A0R4J0J5",25.93907738,25.93634033,25.99075127,26.09860611,26.19540977,26.04222488,25.95293808,25.79143906,26.02036667,25.77685738,26.07683754,25.53966904,24.91538048,26.33701706,26.0664463,26.05610275,25.95821381,26.02612114
"A0A0R4J0J6",26.5607357,26.60187149,26.89873695,26.36542892,26.56328392,26.75620842,25.71492004,26.60879517,26.54462814,26.23114204,26.41189766,26.86549568,26.34313011,26.32336998,26.08934021,25.96912575,26.46482086,26.30412102
"A0A0R4J0K1",26.77580261,26.80008316,26.69019127,26.63837624,26.58634758,26.68992424,26.77391815,26.74316788,26.75557327,26.58649063,26.86076736,26.77730942,26.7426548,26.77981567,26.81102943,26.88634682,26.83267593,26.75926018
"Z4YL78",26.69895935,26.72429466,26.78156853,26.68324661,26.64718819,26.81970215,26.89654541,26.78967476,26.93066597,27.10819054,26.85709381,26.97803688,26.63006401,26.64553833,26.58362389,26.71907997,26.93202019,26.73711967
"Q8BJZ4",28.25916672,28.19755936,28.3761692,28.17745399,28.37218857,28.60002899,28.41494179,28.47220039,28.10379601,28.25444221,28.25975037,28.45771599,28.72569275,28.74567032,28.63408852,28.52110672,28.6853199,28.48350716
